,id,nct_id,outcome_type,measure,time_frame,population,description
35,272166693,NCT03340987,secondary,Probing depth in millimeters,6 months,,It is measuring the distance from the base of pocket to the gingival margin. The probe will be inserted parallel to the long axis of the tooth using light force. Measured in millimeters using a periodontal probe
36,271423655,NCT03672006,primary,Catheter-associated Venous Thrombosis,30 days or ICU discharge,,Catheter-associated Venous Thrombosis upon ICU discharge or 30 days
37,272649923,NCT01475955,secondary,Scaling and Dryness at Visit 2,24-48 hours after PDT #1,,SCALING AND DRYNESS SCALE Grade 0 = None Grade 1 = Minimal - barely perceptible desquamation Grade 2 = Mild - limited areas of fine desquamation in up to 1/3 of the treatment area Grade 3 = Moderate - fine desquamation involving 1/3 to 2/3 of the treatment area or limited areas of coarser scaling Grade 4 = Severe - coarser scaling involving more than 2/3 of the treatment area or limited areas of very coarse scaling
38,271415667,NCT04156646,primary,Time Between Dosing and Time of First Balovaptan Plasma Concentration (Tlag),"Samples at predose, and at 0.25, 0.5, 1, 1.5, 2, 2.5, 3, 3.5, 4, 5, 6, 8, 12, 16, 24, 36, 48, 72, 96, 144, and 192 hours post dose",,Time between dosing and time of first balovaptan plasma concentration is estimated using non-compartmental methods from the concentration-time profiles.
39,272814085,NCT01742936,primary,International Normalized Ratio (INR) Performed by Hospital Laboratory,At end of surgery (an average of 2-4 hrs for cardiac bypass and 4-6 hrs. for spinal fusion),,Measuring the bloods ability to clot by the hospital's reference laboratory.
40,271965850,NCT05442554,secondary,Change from Baseline in Serum Chemistry Parameter: Phosphate,Baseline up to 30 days after the last dose of study drug (up to approximately 48 weeks),,
41,272354779,NCT02377349,secondary,"Percentage of Seroprotected Subjects Against Diphteria Antigen (Anti-D), Tetanus Antigen (Anti-T) and of Seropositive Subjects Against Anti-PT, Anti-FHA and Anti-PRN",One month post vaccination (Day 30) during pregnancy,,"A seroprotected subject against diphteria and tetanus was a subject with antibody concentration ≥ 0.1 IU/mL. A seropositive subject was a subjects with antibody concentration ≥ 2.693 IU/mL for anti-PT, ≥ 2.046 IU/mL for anti-FHA and ≥ 2.187 IU/mL for anti-PRN."
42,274086392,NCT04644627,primary,Wound size reduction,6 weeks,,"Mean of ratios for wound areas (measured in cm2) at week 6 to that of week 0 of gentamicin-treated wounds, compared to the corresponding mean of ratios for standard care-treated wounds. The observed effect is considered significant if p<0.05 (unpaired t-test). Of note, each patient may or may not reach the primary end point independent of the other participants"
43,273337961,NCT05818384,primary,Change in beverage habits over time,Baseline; post-intervention (month 3); 3 months post (month 6); 6 months post-intervention (month 9),,Assessed by the Modified Healthy Home Survey (2005- Beverages). It assesses the number of sweetened drinks consumed per week.
44,271966710,NCT03988309,secondary,To measure the number of subjects who were incorrectly diagnosed associated with the integration of Cxbladder into the evaluation of subjects (or sub-cohorts on test and control arms) presenting with hematuria for evaluation of UC,The outcome measure will be assessed by 6 months after trial completion.,,To quantify the false negative rate (the percentage of the negative fraction incorrectly diagnosed) associated with the integration of Cxbladder into the evaluation of subjects (or sub-cohorts on test and control arms) presenting with hematuria for evaluation of UC
45,272897629,NCT04729218,secondary,McGill Melzack Pain Questionnaire (MPQ),Baseline,,"MPQ consists of 78 descriptors grouped into four categories: sensory, affective, evaluative, and miscellaneous. These four categories were grouped into 20 subclasses each made up of 2 to 6 words according to pain intensity. Patients were asked to choose the pain descriptors according to the type of pain they felt during the attack episodes. Patients were instructed to choose one of the words that best described their type of pain experience. Changing of pain with time was assessed. Pain right now, pain at its worst and pain at its least was evaluated. Pain exacerbating or relieving factors were recorded."
46,274204223,NCT00331760,secondary,Rate of Local-regional Failure at Five Years,From registration to five years.,,"Local-regional failure time is defined as time from registration to date of local-regional failure (any failure in the treatment field, which will be the pelvis only), death without local-regional failure (competing risk), or last known follow-up (censored). Local-regional failure rates are estimated by the cumulative incidence method."
47,271817500,NCT02826603,secondary,Participants With IGA Mod 2011 0 or 1 at 16 Weeks,Week 16,,Investigator's Global Assessment uses a scale (IGA mod 2011) that rates disease from a score of 0 (clear skin) to 4 (severe disease)
48,273842056,NCT04238468,primary,Histological quantification of vascularity in scar tissue,10 months,,Vascularity will be histologically quantified and compared on the injected and control site.
49,272913876,NCT05877430,secondary,Disease Control Rate (DCR),Maximum 2 years,,Antitumor effect is assessed through tumor image and tumor lesion per RECIST v1.1.
50,272621749,NCT04752722,secondary,Phase 2: Duration of response of the responding patients,Approximately 3 years,,Durability will be measured by determining the number of patients without recurrence of high-grade disease.
51,271695826,NCT03604484,secondary,Right ventricular function,5 year,,Right ventricle function at the follow up
52,272216563,NCT05474547,other,Depression Anxiety and Stress,10 days,,"Depression, Anxiety and Stress Score (DASS-21); The total score on the scale can range from 0 to 21 points. Higher scores indicate Severe depression while lower score indicates mild anxiety."
53,271594148,NCT04361266,primary,Rotator cuff repair integrity @ 6 weeks,postoperative at 6 weeks,,ultrasound assessment of rotator cuff
54,271401718,NCT05834179,secondary,the incidence of dysphonia,24 hour after extubation,,Presence of dysphonia defined as difficulty or pain on speaking (0=no. 1=yes)
55,273300231,NCT00332449,secondary,Hypoglycemia prevention,2 days,,
56,273069099,NCT01548677,secondary,CTC essay,2 years after LPI,,"To evaluate in a clinical trial setting the feasibility, reliability, within patient reproducibility and variability of the assay for CTC(s)"
57,273445765,NCT03794921,other,COPD Knowledge,12 weeks,,Bristol COPD Knowledge Questionnaire. 13-items that usually takes between 10 and 20 minutes to complete. Percent of questions scored correctly is assessed and range from 0 to 100 %.
58,273651368,NCT01001169,secondary,Seroconversion Factor (SCF) for HI Antibodies Against Flu A/CAL/7/09 Strain of Influenza Disease,At Day 21,,"Seroconversion factor (SCF) was defined as the fold increase in serum HI GMTs post-vaccination compared to pre-vaccination. The Flu strain assessed was Flu A/CAL/7/09, in subjects aged between 6 months to 9 years and 10 to 17 years, following the CHMP guidance.

The CHMP Criterion was fulfilled if the point estimate for SCF was > 2.5."
59,271924036,NCT02406638,secondary,Correlation between the suburethral tape spatial positon and objective cure rate,"evaluation will occur in 1 day, 3 years after surgery",,"Correlation between the tape spatial position measured by 3D USG and objective cure rates, accessed by stress test and pad-test"
60,271375146,NCT04433767,secondary,NIH EXAMINER Test Battery Fluency Factor Change,Baseline to week 12,,"Secondary Cognitive Outcome: This neuropsychological test battery assesses a range of executive functions. Its Fluency Factor Score is a single score that represents verbal fluency performance across phonemic and categorical fluency assessments. Higher scores indicate better executive function, with a range of -3.0 to 3.0. This is calculated independently of the executive composite or other factor scores."
61,274200661,NCT05516277,primary,24-hr ambulatory blood pressure monitoring (ABPM) change in blood pressure day to night,Change from baseline to 1 week after completion of sleep intervention,,"ABPM is an assessment of hypertension, a cardiometabolic disease, and blood pressure patterns across the 24-hour period. We will assess change in blood pressure from day to night (day-night)."
62,272193415,NCT03301025,secondary,Peak airway pressures,10 minutes after settled prone position,,in centimeter water
63,273893149,NCT04229225,secondary,Change from baseline to Week 12 of the weekly mean of the average daily pain (ADP) intensity scores on the 11-point numeric rating scale (NRS) in patients receiving UBX0101 versus those receiving placebo,Baseline to Week 12,,"ADP is assessed by NRS on a range from 0 (no pain) to 10 (worst pain imaginable), with higher scores indicating higher levels of pain"
64,271829459,NCT02056353,secondary,Daily maximal blood glucose difference,up to 14 days post-randomization,,marker of blood glucose fluctuations
65,271405629,NCT01186068,primary,Clinician's Erythema Assessment,Day 28 visit,,Physician visual evaluation
66,273174841,NCT01884285,secondary,"Part A, B, C + D: Antitumor activity of AZD8186 monotherapy or in combination",Every 12 weeks (non prostate patients) or every 6 weeks (prostate patients) from baseline up to disease progression or withdrawal of consent,,Evaluation of tumour response using RECIST 1.1 or Prostate Cancer Clinical Trials Working Group (PCWG2) criteria for those patients with prostate cancer
67,273531074,NCT00560547,secondary,Dose adjustments; RBC transfusions,Throughout study,,
68,273287596,NCT05382910,secondary,Annualized rate of the event of loss of asthma control (LOAC),24 weeks and 25 to 32 weeks,,the annualized rate of the event of loss of asthma control (LOAC) at 24 weeks and 25 to 32 weeks of treatment
69,272345205,NCT01658579,secondary,Change in Average 7-Point Self-Monitored Plasma Glucose (SMPG) Profile From Baseline to Week 8 and 16,"Baseline, Week 8, 16",,Change in average of 7-point SMPG. 7-point SMPG was assessed starting with a measurement at before breakfast and 2 hours after breakfast; before and 2 hours after lunch; before and 2 hours after dinner; at bedtime.
70,273792066,NCT03887767,primary,Mortality rate,1 year,,1 year mortality rate
71,272636737,NCT04976400,secondary,WOMAC score,12 months after operation,,"The Western Ontario and McMaster Universities (WOMAC) Osteoarthritis Index, the scale is 0-100 and 100 is worse."
72,273983959,NCT01282021,primary,Serum Collection,10 years,,To elucidate the molecular distribution of blood group alleles predicting RBC antigens in three different sub-populations in Ethiopia.
73,272666105,NCT04708626,secondary,Estimated incidence rate of autoimmune encephalitides and paraneoplastic neurological syndromes in the Swedish population,5 years,,Incidence rate of autoimmune encephalitides and paraneoplastic neurological syndromes in the Swedish population between 2015-2019 estimated from the incidence rates in the Uppsala-Örebro health care region as well as detection of neuronal antibodies in the entire Swedish population
74,271585637,NCT01168739,primary,plasma Il-6,"Pre, post, 2hours post, 4 hours post exercise, day 1 of exercise/heat stress",,
75,273109060,NCT05083169,primary,Progression Free Survival (PFS),Up to 5 years,,"PFS is defined as the time from the date of randomization to the date of first documented disease progression, as defined in the International Myeloma Working Group (IMWG) criteria, or death due to any cause, whichever occurs first."
76,272382426,NCT02021318,secondary,Time to First Occurrence of Hypertension During Weeks 1 to 36: Full Analysis Set,Weeks 1 to 36,,"Hypertension was defined as either SBP ≥ 170 mmHg and an increase from baseline ≥ 20 mmHg or as DBP ≥ 110 mmHg and an increase from baseline ≥ 15 mmHg. For participants who had experienced more than one event, only their first event following study treatment was used. Data reported was analyzed by Kaplan-Meier estimate for cumulative proportion. Percentage of participants were reported in this outcome measure."
77,274048009,NCT05767866,secondary,Part2、3：Progression Free Survival (PFS),Up to 36 months after first dose.,,"PFS is defined as the time interval from the date of randomization until the first date at which the criteria for progressive disease (PD) according to RECIST version 1.1 are met or death, whichever occurs first."
78,273112388,NCT03399981,primary,Prospective and Retrospective Analyses: Number of Participants with Serious Adverse Events of Other Serious Opportunistic Infections (OIs),Retrospective: from the time of switching to Tysabri to 31 December 2015; Prospective: from the time of switching to Tysabri (on or after 01 January 2016) to 31 December 2023 (up to 8 years),,"An SAE is any untoward medical occurrence at any dose that results in death, immediate risk of death, hospitalization, disability, or congenital anomaly/birth defect.

Opportunistic infections (OIs) are infections that occur more frequently and are more severe in individuals with weakened immune systems."
79,273028878,NCT06252337,primary,Healing rate,"3 months, 6 months 12 months, 24 months",,number of teeth with no periapical lesion at the endline using periapical index (PAI)
80,272384046,NCT01988402,primary,Resolution of the Acute Gout Attack,1-28 Days,,The primary outcome unit of measurement is time (in days) to resolution of the acute gout attack
81,273028892,NCT06251271,secondary,Sonographic Predictors of Obstructive Lung Disease Diagnosis,12 Months,,"This outcome will identify and quantify the predictive value of specific sonographic components for the diagnosis of Obstructive Lung Disease (OLD), utilizing a scoring system ranging from 0 to 10, where higher scores indicate worse respiratory status. The analysis will focus on the sensitivity and specificity of individual sonographic components, with OLD diagnosis as the outcome variable."
82,272360055,NCT04875065,secondary,Change From Baseline in Social Functioning at Post Intervention,Baseline and 3 months,,"Satisfaction with Social Roles and Activities (PROMIS) is a computerized adaptive test (CAT). It produces T scores with a mean of 50 and standard deviation of 10. Greater scores indicate better outcomes (i.e., greater satisfaction with social role and activities). Mean change in T scores (change = post intervention scores - baseline scores) will be reported."
83,272929680,NCT03193866,secondary,Severity assessments of COVID-19 in MS,1-2 years after COVID-19 epidemic,,Number of hospital and ICU admittance in people with MS compared to population
84,271883356,NCT06036030,other,Total protein measurement,"0, 14, 28, and 42 days post-treatment",,"Blood chemistry, measure in mg %"
85,273562224,NCT06046638,secondary,ADL Cognitive ability assessment,"Through hospitalization completion, an average of 1 week; 30 days post surgery",,"ADL score (the minimum value is 0 and the maximum value is 100, and higher scores mean a better outcome) at discharge and on the 30th postoperative day"
86,272658715,NCT01148849,secondary,Maximum Concentration of Margetuximab at Steady State once every 3 weeks schedule,"Study Day 1, 2, 4, 5, 22, 29 ,36, 50, every 3 weeks thereafter throughout study completion, average 10 months.",,
87,272638935,NCT04944498,primary,OSDI (Ocular Surface Disease Index),7 day post-operative,,Questionnaire assessing subjective dry eyes symptoms
88,272741680,NCT05413408,secondary,Knowledge of Schizophrenia as assessed by Knowledge about Schizophrenia Test (KAST),up to three month,,"Knowledge about Schizophrenia Test (KAST)-Chinese version will be used to measure the stigma-related schizophrenia knowledge of participants. KAST, including 18 items, demonstrate an acceptable reliability coefficient of 0.68. The content validity index of items (I-CVI) ranged from 0.83 to 1.00, while the S-CVI/UA and S-CVI/Ave were 0.83 and 0.97, respectively, and known-group validity was satisfactory."
89,272205960,NCT05867225,secondary,measurement of blood pressure,Month 24,,Systolic and diastolic blood pressure are measured in millimeter of mercury (mm Hg). Systolic blood pressure is between 70 and 220 mm Hg. Diastolic blood pressure is between 20 and 160 mm Hg.
90,273296386,NCT04126837,secondary,Description of pain intensity,1 day,,"Pain intensity assessed by a Numerical Scale ranges (0-10) during admission, on arrival in care areas and during discharge"
91,272016104,NCT02433340,secondary,Change From Baseline in hsCRP at Week 20,Week 20 (Week 8 of Study M12-965),,"For analysis purposes, all baseline are defined as the last measurement on or before the first dose of study drug in Study M12-963."
92,271665310,NCT02391688,primary,Area under the capillary blood concentration-time curve (AUC) of dextromethorphan,"0, 0.5, 1, 2, 3, 4, 6, 8 hours post treatment A or D",,Comparison of dextromethorphan AUC when treatment A or D is administered
93,271668811,NCT03112798,secondary,complications,five months,,any complication will be recorded during tracheal intubation with each device
94,272589204,NCT05304312,primary,Treatment Success,up to 12 weeks,,Decrease of symptoms based on UDI-6
95,273933616,NCT00861744,secondary,Anti-S. Pneumoniae Antibody Concentrations (by Serotype).,At Day 0 before vaccination,,Antibody concentrations are expressed as Geometric Mean Concentrations (GMCs) in µg/mL.
96,273913249,NCT02723903,primary,The efficacy of somatization symptom score,2 weeks after the first visit,,"observe the efficacy by the score of somatic symptom scale (SSS), Patient Health Questionnaire (PHQ-9), Generalized Anxiety Disorder 7-items (GAD-7)"
97,272308189,NCT05135871,primary,"Area under the curve (AUC) (0-last), AUC(0-inf)","Predose, Day 1, Day 7, Day 10, Day 14, Day 21, Day 28, Day 35, Day 45, Day 67 and Day 75 post-dose",,"Determination of pharmacokinetics parameters as measured by area under curve AUC(0-last), AUC(0-inf)"
98,273893561,NCT04228913,primary,Pain level comparison after root canal obturation with three different obturation technique.: VAS (Visual Analogue Scale) at 3th days.,3th days,,"Based on the VAS (Visual Analogue Scale), the pain levels of the patients were assessed. The scale consisted of a 100-mm-long line divided into 10 equal intervals from 0 (no pain) to 100 (very severe pain). Every patient was asked to mark his or her perceived postoperative pain level on the line."
99,271624842,NCT05495698,secondary,WPAI,12 months,,questionnaire to measure impairments in work and activities
100,272392920,NCT05128123,secondary,Assessment of the relationship between social health determinants and quality indicators for the management of HCC (diagnosis at 2 years after treatment),Up to 3 months,,The quality indicators for the management of HCC will be retrieved from the CHIEF eCRF. The determinants of the quality indicators for the management of HCC (from diagnosis to 2 years after treatment) will be evaluated using a logistic regression model.
101,273893573,NCT04228913,secondary,Analgesic intake comparison after root canal obturation with three different obturation technique at 6th days,6th days,,"The patients were asked to choose one of the three options: ""0: No pain, or no pain which does not require the use of analgesics"", ""1: Moderate pain which can be controlled very well by the use of analgesics and does not affect daily activities or sleep"", ""2: Daily activities Unbearable pain that cannot be controlled by the use of analgesics"""
102,273067615,NCT01542489,secondary,Insulin dose,,,
103,272836076,NCT05452655,secondary,Anhedonia,18 weeks,,"Snaith-Hamilton Pleasure Scale (SHAPS) [0-14, 0=better, 14=worse outcome]"
104,273493967,NCT03653000,primary,"Evaluation of motor block for the ulnar nerve at 5 minutes post injection assessed by a scale of motor function (0 = Complete paresis, 1 = Partial paresis, 2 = Normal motion)",5 minutes post injection,,Evaluation of motor block for the ulnar nerve
105,273243650,NCT05467176,secondary,Mortality,Up to 5 years,,Any deaths that occur during the study
106,273736404,NCT04590664,secondary,RR (Phase I),From study enrollment to 2 years,,"Will be assessed by RANO for MRI of glioblastoma. Response rate will be estimated, and a 95% confidence interval will be estimated using the Clopper-Pearson method."
107,273977337,NCT06239077,primary,Analytic Validity - Specificity,10 weeks,,"The ability to accurately identify pregnancies that do not have the suspected genetic aberration arising from a compound heterozygosity scenario. It is calculated by determining the proportion of true negative results among all cases that are actually free from the condition. This involves dividing the number of true negative cases by the sum of true negative and false positive cases, providing a measure of the test's accuracy in correctly ruling out the condition in unaffected pregnancies."
108,272078210,NCT04641559,primary,Change in Adherence to Mediterranean diet.,At weeks 2 and 25.,,"Adherence to Mediterranean diet measured through the MEditerranean Diet Adherence Screener (MEDAS). The questionnaire consists of 14 questions about eating habits, the frequency of consumption of typical foods of the Mediterranean diet or the consumption of foods not recommended in this diet. Each question is screened with 0 (non-compliant) or 1 (compliant) and the total score range from 0 to 14, so a score of 14 points mean maximum adherence."
109,273282571,NCT00303394,secondary,Insulin secretion and Insulin-sensitivity index derived from an OGTT with insulin and glucose measurements.,,,
110,273841969,NCT05658614,primary,assessment of Immunogenicity 2,Day 56,,The anti-Sm14 IgG isotypes (Total IgG; IgG1; IgG3; IgG4; IgE) antibody response using an indirect ELISA
111,271821879,NCT03474302,secondary,Change in resilience.,Week 0 and Week 12,,"The 25-item Connor-Davidson Resilience Scale (CD-RISC 25) collects information on resilience, which is the ability to thrive despite adversity. The total score ranges from 0 (low resilience) to 100 (higher resilience)"
112,272781017,NCT05532683,secondary,Social Validity as assessed by the Semi-Structured Interview for Social Validation,9-week post-intervention,,"The social validity of the intervention will be described qualitatively using a modified version of the Semi-Structured Interview for Social Validation. This interview measure includes questions directed at assessing the significance of the goals of the intervention, the acceptability of the procedures used, and the importance of the effects of the intervention. A thematic analysis procedure will be utilized for qualitative analysis of the interviews."
113,272493125,NCT04741347,primary,Fracture reduction quality,Year 1,,This outcome corresponds to the fracture reduction quality assessed on the postoperative CT scan using the Saint Joseph score.
114,271781852,NCT02999230,primary,Levels of the arginine deiminase system (ADS) in oral samples of healthy and caries-active subjects changes from week 2 to week 4,Changes from week 2 to week 4 (Baseline),,Saliva and dental plaque will be collected during the week 2 and week 4 study visits. The amount of citrulline and/or ammonia produced via the ADS by oral bacteria present in the collected oral samples will be measured and compared using standardized protocols.
115,271676040,NCT03085095,secondary,Follicle-stimulating Hormone (FSH) Level,Week 25 Day 1 (Day 169),,To evaluate the effect of relugolix and leuprolide acetate on FSH suppression.
116,271734425,NCT04632667,secondary,Change in Child Oral health quality of life measured using parent self-report surveys,"baseline, end of Year 1, Year 2 and Year 3",,
